millis,Pres,Temp,NH3,CO,NO2
82879,95907,25.4,334,942,87
83201,94561,25.4,334,942,87
83521,93247,25.4,333,942,87
83842,91971,25.4,332,941,86
84163,90721,25.4,332,941,86
84484,89503,25.4,331,941,86
84804,88308,25.4,330,941,86
85126,87153,25.4,330,941,86
85446,86026,25.5,329,941,86
85767,84978,25.5,329,941,86
86088,83976,25.5,328,941,86
86409,82984,25.5,327,941,86
86729,82013,25.5,326,941,86
87053,81053,25.5,326,941,86
87374,80117,25.5,325,941,85
87695,79189,25.5,325,941,85
88015,78278,25.5,324,941,85
88337,77387,25.5,324,941,85
88657,76510,25.5,323,940,85
88978,75651,25.5,322,940,85
89298,74802,25.5,321,940,85
89620,73973,25.5,321,940,85
89940,73151,25.5,321,941,85
90261,72343,25.5,321,941,85
90584,71540,25.5,320,941,84
90905,70754,25.5,320,940,84
91226,69977,25.5,319,940,84
91546,69215,25.5,319,941,84
91870,68455,25.5,319,940,84
92191,67710,25.5,318,940,84
92512,66978,25.5,316,940,84
92832,66257,25.5,316,940,84
93154,65546,25.5,315,940,84
93474,64844,25.5,314,939,83
93795,64149,25.5,312,939,83
94115,63464,25.5,312,939,83
94437,62783,25.5,311,939,83
94757,62111,25.5,310,939,83
95078,61455,25.5,309,939,83
95399,60806,25.5,310,939,83
95720,60162,25.5,309,939,82
96040,59522,25.5,308,939,82
96361,58896,25.5,307,938,82
96683,58281,25.5,306,938,82
97006,57663,25.5,305,938,82
97327,57054,25.5,304,939,82
97647,56453,25.5,304,939,82
97969,55866,25.5,304,938,82
98289,55275,25.5,303,938,81
98610,54699,25.5,302,938,81
98931,54125,25.5,302,939,81
99252,53560,25.5,302,938,81
99572,53005,25.5,301,938,81
99894,52445,25.5,300,938,81
100216,51892,25.5,299,938,81
100537,51351,25.5,298,937,81
100857,50820,25.5,296,937,80
101179,50287,25.5,295,937,80
101499,49760,25.5,295,937,80
101823,49237,25.5,293,936,80
102144,48723,25.5,291,936,80
102465,48219,25.5,290,936,80
102786,47714,25.5,289,936,79
103107,47216,25.5,287,935,79
103428,46731,25.5,285,935,79
103748,46244,25.5,284,935,79
104070,45769,25.5,283,935,79
104390,45295,25.5,282,935,78
104711,44828,25.5,281,934,78
105032,44359,25.5,279,934,78
105353,43903,25.5,278,934,78
105673,43445,25.5,276,933,77
105995,42999,25.5,275,933,77
106315,42553,25.5,274,933,77
106682,42051,25.5,274,934,77
107002,41613,25.5,273,934,77
107323,41180,25.5,273,934,76
107643,40750,25.5,272,934,76
107964,40324,25.5,270,933,76
108284,39900,25.5,269,932,76
108605,39485,25.5,267,932,76
108925,39069,25.5,265,932,75
109246,38667,25.5,263,932,75
109566,38260,25.5,262,932,75
109889,37861,25.5,262,933,75
110210,37468,25.5,262,933,75
110530,37078,25.5,261,933,74
110851,36689,25.5,261,933,74
111171,36307,25.5,260,932,74
111495,35930,25.5,259,932,74
111815,35554,25.5,258,932,74
112136,35182,25.5,257,932,74
112456,34815,25.5,257,932,73
112777,34447,25.5,256,932,73
113097,34084,25.5,255,932,73
113419,33726,25.5,254,932,73
113739,33371,25.5,254,932,73
114060,33022,25.5,253,932,73
114380,32677,25.5,253,932,72
114701,32333,25.5,252,932,72
115021,31995,25.5,250,931,72
115342,31658,25.5,249,931,72
115662,31326,25.5,248,931,72
115983,31000,25.5,247,931,72
116306,30674,25.5,245,930,71
116627,30349,25.5,244,930,71
116947,30029,25.5,243,930,71
117269,29716,25.5,241,929,71
117590,29401,25.5,239,929,71
117910,29095,25.5,238,929,70
118231,28788,25.5,236,929,70
118551,28484,25.5,235,928,70
118873,28186,25.5,233,928,70
119193,27888,25.5,232,928,69
119516,27595,25.5,231,928,69
119836,27307,25.5,230,928,69
120157,27023,25.5,230,929,69
120477,26738,25.5,229,929,69
120798,26456,25.5,229,929,68
121121,26180,25.5,228,929,68
121443,25900,25.5,228,929,68
121763,25633,25.5,227,929,68
122084,25365,25.5,226,929,68
122404,25099,25.5,226,929,67
122725,24835,25.5,225,928,67
123046,24575,25.5,224,928,67
123367,24315,25.5,223,928,67
123687,24058,25.5,222,928,67
124008,23812,25.5,221,928,67
124328,23557,25.5,220,928,66
124650,23309,25.5,219,928,66
124971,23067,25.5,218,927,66
125291,22822,25.5,217,927,66
125612,22583,25.5,216,927,66
125935,22346,25.5,215,927,65
126256,22112,25.5,214,926,65
126577,21885,25.5,213,926,65
126898,21651,25.5,211,926,65
127218,21419,25.5,210,926,65
127539,21192,25.5,209,926,64
127859,20969,25.5,208,925,64
128181,20750,25.5,207,925,64
128501,20533,25.5,205,925,64
128822,20314,25.5,204,924,64
129144,20099,25.5,203,924,63
129465,19892,25.5,201,924,63
129785,19683,25.5,200,924,63
130106,19469,25.5,199,923,63
130427,19269,25.5,197,923,63
130751,19064,25.5,196,923,62
131072,18863,25.5,195,923,62
131392,18669,25.5,193,923,62
131713,18473,25.5,192,922,62
132033,18280,25.5,191,922,62
132354,18082,25.5,190,922,61
132675,17894,25.5,189,922,61
132996,17706,25.5,187,921,61
133316,17521,25.5,186,921,61
133637,17337,25.5,185,921,60
133958,17155,25.5,184,921,60
134279,16972,25.5,183,921,60
134599,16795,25.5,182,920,60
134920,16619,25.5,181,921,60
135240,16446,25.5,180,921,59
135564,16269,25.5,179,920,59
135884,16102,25.5,178,920,59
136206,15927,25.5,177,920,59
136526,15766,25.5,176,920,58
136847,15591,25.5,175,920,58
137167,15431,25.5,174,919,58
137489,15271,25.5,172,919,58
137809,15112,25.5,171,919,58
138130,14951,25.5,170,918,57
138450,14792,25.6,169,918,57
138773,14640,25.6,168,918,57
139094,14485,25.6,167,918,57
139414,14332,25.6,166,917,57
139736,14182,25.6,164,917,56
140056,14034,25.6,163,917,56
140377,13890,25.6,162,917,56
140700,13736,25.6,161,916,56
141021,13588,25.6,160,916,55
141341,13447,25.6,159,916,55
141663,13313,25.6,158,916,55
141983,13313,25.6,157,916,55
142304,13358,25.6,156,916,55
142625,13397,25.6,155,916,54
142946,13433,25.6,155,916,54
143266,13464,25.6,154,916,54
143587,13487,25.6,154,916,54
143907,13509,25.6,153,916,54
144229,13528,25.6,153,916,54
144549,13546,25.6,152,916,53
144870,13555,25.6,152,916,53
145190,13573,25.6,151,916,53
145514,13584,25.6,151,915,53
145835,13593,25.6,150,915,53
146155,13601,25.6,150,915,53
146477,13613,25.6,149,915,53
146797,13619,25.6,149,915,53
147118,13632,25.6,148,914,53
147438,13634,25.6,148,914,52
147759,13642,25.6,147,914,52
148079,13648,25.6,147,914,52
148402,13650,25.6,146,914,52
148722,13654,25.6,146,914,52
149043,13659,25.6,145,914,52
149363,13663,25.6,145,914,52
149684,13666,25.6,145,914,52
150004,13666,25.6,144,914,52
150328,13670,25.6,144,914,51
150648,13670,25.6,144,914,51
150969,13674,25.6,144,914,51
151290,13671,25.6,143,914,51
151611,13673,25.6,143,914,51
151931,13675,25.6,143,913,51
152252,13677,25.6,143,914,51
152572,13680,25.6,142,914,51
152893,13679,25.6,142,914,51
153214,13682,25.6,142,914,51
153535,13683,25.6,142,913,51
153856,13682,25.6,141,913,50
154176,13682,25.6,141,913,50
154497,13682,25.6,141,913,50
